id,title,indexed,bgcov,n_mb_works
all-american-girl,All American Girl,0,0,7
all-american-girl-1,All American Girl,0,0,7
all-american-kid,All American Kid,0,0,0
all-american-man,All American Man,0,0,1
alla-my-love-lyrics-chords,Alla My Love Lyrics Chords,0,0,0
all-around-cowboy,All Around Cowboy,0,0,2
all-around-cowboy-1,All Around Cowboy,0,0,2
all-around-this-world,All Around This World,1,3,0
all-at-once-it-s-forever-lyrics-chords,All At Once It's Forever Lyrics chords,0,0,0
all-because-of-you,All Because Of You,0,4,26
all-by-my-lonesome,All By My Lonesome,0,0,0
all-by-myself,All By Myself,0,0,22
all-by-myself-1,All By Myself,0,0,22
all-day-sucker,All Day Sucker,0,1,2
all-dressed-up-and-lonely,All Dressed Up and Lonely,0,0,1
allegheny-moon,Allegheny Moon,0,0,1
allentown-polka,Allentown Polka,0,0,0
allergic-to-the-blues,Allergic To The Blues,0,0,0
alleycat,Alleycat,1,0,1
alley-girl-ways,Alley Girl Ways,0,0,0
all-fall-down,All Fall Down,0,3,27
all-fall-down-1,All Fall Down,0,3,27
all-for-the-love-of-a-girl,All For The Love of a Girl,0,2,1
all-for-the-love-of-sunshine,All for the Love of Sunshine,0,0,3
all-girl-all-gospel-quartet,All Girl All Gospel Quartet,0,0,0
all-grownup,All Grownup,0,0,0
all-hail-the-power-of-jesus-name,All Hail The Power Of Jesus' Name,0,0,1
all-hat-no-cattle,All Hat No Cattle,0,0,1
all-her-little-loving-ways,All Her Little Loving Ways,0,0,1
all-his-children,All His Children,0,1,1
all-i-can-be-is-a-sweet-memory,All I Can Be Is A Sweet Memory,0,1,1
all-i-can-do,All I Can Do,0,3,14
all-i-can-give-you-is-my-heart,All I Can Give You Is My Heart,0,0,0
all-i-can-handle-at-home,All I Can Handle At Home,0,0,0
all-i-can-hold-to,All I Can Hold To,0,0,0
all-i-ever-give-is-in,All I Ever Give Is In,0,0,0
all-i-ever-loved-was-you,All I Ever Loved Was You,0,4,1
all-i-ever-need-is-you,All I Ever Need Is You,0,2,1
all-i-ever-wanted-to-do,All I Ever Wanted To Do,0,0,0
